0,जबकि यह जैनों से कम है।, jabki yah Jainon se kam hai. 
1,वर्ष 2000 में वेंकटरामन ने प्रयोगशाला में राइबोसोम की तीस ईकाईयों का पता लगाया और प्रतिजैविकों के साथ इनके यौगिकों पर भी अनुसंधान किया।, varsh 2000 me venkatarman ne prayogshala me ribosom ki tees eekayiyon ka pata lagaaya aur pratijeevikon ke saath inke yogikon par bhi anushandhan kiya. 
2,इस वृक्ष की लंबाई तकरीबन ५० से ६० फीट के आसपास की होती है।, is vriksh ki lambai takriban 50 se 60 feet ke aas paas ki hoti hai. 
3,"इन अनुसंधान कार्यक्रमों में तारा रचना, तारकीय संरचना और विकास, धूमकेतु, नोवा और बाइनरी सिस्टम, सुपरनोवा, चंद्र उपगूहन अध्ययन और स्टारबर्स्ट और सक्रिय गांगेय नाभिक जैसे पिंडों और घटनाओं की विस्तृत रेंज को कवर किया जाता है।"," in anushandhan karyakramon mein tara rachna, tarkiya sthiti aur vikas, dhoomketu, nova aur binaari system, super nova, chandra upgon adhyayan aur starburst aur sakriya gangay nabhik jaise pindon aur ghatnon ki vastit range ko cover kiya jata hai. "
4,१ नबम्बर १९१९ को मजिस्ट्रेट बी॰ एस॰ क्रिस ने मैनपुरी षडयन्त्र का फैसला सुना दिया।, 1 nabambar 1919 ko majisrate B.S. Kris ne manpuri shad-yantara ka faisla suna diya. 
5,अमरीश पुरी, amarish puri 
6,ग्रामीण क्षेत्रों में लोग अक्सर अपशिष्ट का स्थानान्तरण पर्हस्ती स्टेशन पर फेंक कर निपटान करते हैं जमा किया गया मल फिर क्षेत्रीय landfill तक ले जाया जाता है, gramyan kshetron me log aksar apashisht ka sthanantarana phastee station par fenakar nipatana karta hain jamaya gaya mal phir kshetrivya landfill tak le jaya jata hai 
7,ये आंध्र प्रदेश से हैं।, ye andhra pradesh se hain. 
8,सुशील सिद्धार्थ ये वो सहर तो नहीं हिंदी कथा जगत में अपना ख़ास मुकाम बना चुके युवा रचनाकार पंकज सुबीर का प्रथम उपन्यास--ये वो सहर तो नहीं --ज्ञानपीठ से आ गया है।, suhsheel sidharth ye vo sahhar to nahin hain hindhi katha jagat me apna khasa makaam bana chuke yuva rachnakaar pankaj subeer ka pratham upanyas--ye vo sahhar to nahin--jnanpeeth se aaya hai. 
9,यथार्थ की परिधि के बाहर जाकर मनचाही उड़ान लेना उसके लिए प्राय: असंभव हो गया।, yatharth ki paridhi ke baahar jaakar manchahi udaan lena uske liye prayas: asambhav ho gaya. 
