roman,native,transliterated_sentence,WER,CER,BLEU
"yah shabd aise logon ki aur sanket krta hai jinke pas kuchh gupt dhnyan hai (Filisthani logon ke viprit), aur sath hi sath kabhi","यह शब्द ऐसे लोगों की ओर संकेत करता है जिनके पास कुछ गुप्त ज्ञान है (फिलिस्तीनी लोगों के विपरीत), और साथ ही साथ कभी",याह शब्द आइसे लोगों की और संकेत करता है जिनके पास कुछ गुप्त धन्यान है चिलिस्थानी लोगों के विप्रीत और साथ ही साथ कभी,0.25,0.12280701754385964,0.3962704367637091
purv mein yah Uttar China ke maidnon mei Wei nadi ke dakshin-purv mein jkr khatm ho jate hain.,पूर्व में यह उत्तर चीन के मैदानों में वेई नदी के दक्षिण-पूर्व में जाकर ख़त्म हो जाते हैं।,पूर्व में याह तत्तर हीना के मैदनों मेई एईआई नदी के दक्षिणपूर्व में जेकेआर खत्म हो जते हैंट,0.6111111111111112,0.1797752808988764,0.03715770152515524
"prvsiyon ke kai adhyayanon se pta chlta hai ki agar prvs 15 sal ki umra se phle hota hai, prvsi ko naye pradesh ke MS ki atisanvedanshilta prbhvit krti hai.","प्रवासियों के कई अध्ययनों से पता चलता है कि अगर प्रवास 15 साल की उम्र से पहले होता है, प्रवासी को नए प्रदेश के एम्एस की अतिसंवेदानाशिलता प्रभावित कराती है।",प्रवसियों के काई अध्ययनों से पीटीए चलता है की अगर पीआरवीज आरआर साल की उमरा से फ्ले होता हैया प्रवसी को नये प्रदेश के आरआर की अतिसंवेदनशीलता प्रभ्वित कृति हैया,0.5333333333333333,0.24516129032258063,0.029380573037009833
"370 ke March 08, 2014 ko gyb ho jane ke bad khoj men shyta hetu Chin ke adhikariyon dwra chrtr sakriy kiya gyaa.","370 के मार्च 08, 2014 को गायब हो जाने के बाद खोज में सहायता हेतु चीन के अधिकारियों द्वारा चार्टर सक्रिय किया गया।",आईएस के आर्च आईएस एग्री को जिब हो जाने के बड़ खोज मेन शायता हेतु ह्गिन के अधिकारियों द्वारा चर्त्र सक्रिय किया ज्ञाह,0.4782608695652174,0.3008849557522124,0.08299711394278343
"taron se prapt honewali prkshtrngon se vyktikrn dwra taron ki disha, duri ttha visthar ka nirdhrn kiya jta hai.","तारों से प्राप्त होनेवाली प्रकाशतरंगों से व्यतिकरण द्वारा तारों की दिशा, दूरी तथा विस्तार का निर्धारण किया जाता है।",तरों से प्राप्त होनेवाली प्रक्षत्रांगों से व्यक्तिकरण द्वारा तरों की दिशा दुरी ट्ठा विस्थार का निर्धारण किया जता हैया,0.5263157894736842,0.14782608695652175,0.09660367388621095
"ke prati svtntrtaa nahi milne se use lgta rehta hai, ki usne zindgi mein kuch kar hi nhi pya","के प्रति स्वतन्त्रता नही मिलने से उसे लगता रहता है, कि उसने जिन्दगी मे कुछ कर ही नही पाया",के प्रति स्वतन्त्रता नाही मिलने से यूज लगता रहता हैया की उसने ज़िंदगी में कुच कार ही न्ही प्या,0.5263157894736842,0.16853932584269662,0.07482888402874945
"smyntrl, bdlte parivesh, mehngai aur khane ke alava apni anya jrurto ko puri karne ke sath baccho ke bhvishya ki chinta ke liye mjburivsh unhe aisa krna pdta hai.","समयांतराल, बदलते परिवेश, मंहगाई और खाने के अलावे अपनी अन्य जरूरतों को पूरी करने के साथ बच्चों के भविष्य की चिंता के लिये मजबूरीवश उन्हें ऐसा करना पड़ता है।",स्मिंट्रोल बीडीएलटीई परिवेश मेहंगाई और खाने के अलावा अपनी अन्य ज्रूरतो को पुरी करने के साथ बच्चो के भविष्य की चिंता के लिये मजबुरिवश उन्हे एआईएसए करना पड़ता हैया,0.41379310344827586,0.2064516129032258,0.2624579878249011
"ane ke bad jameen men ropa gya beej upar ki or ankurit hota hai. Usi trh, rchna ke daurn,","आने के बाद जमीन में रोपा गया बीज ऊपर की ओर अंकुरित होता है, उसी तरह, रचना के दौरान,",एएनई के बड़ जमीन मेन रोपा ग्या बीज उपर की ओर अंकुरित होता हैया एसएसआई टीआरएच रचना के डॉर्न्ट,0.47368421052631576,0.30120481927710846,0.14623486593466603
andrew yul and company limited andrew yul samuh ki svtntrta-purv ki pramukh companiyo me se ek hai.,एंड्रयू यूल एंड कंपनी लिमिटेड एंड्रयू यूल समूह की स्वतंत्रता-पूर्व की प्रमुख कंपनियों में से एक है।,एंड्र्यू युल एंड कंपनी लिमिटेड एंड्र्यू युल समूह की स्वतन्त्रतापूर्व की प्रमुख कंपनियों मे से एक हैया,0.4117647058823529,0.10101010101010101,0.12039217537411316
gambhir abhiyaan shuru nahi kiya aur apne shesh jeevan mein adhikatar rajniti se dur bane rahe.,गंभीर अभियान शुरू नहीं किया और अपने शेष जीवन में अधिकतर राजनीति से दूर बने रहे।,गंभीर अभियान शुरू नाही किया और अपने शेष जीवन में अधिकतर राजनीति से दुर बने रहें,0.1875,0.05063291139240506,0.6147881529512643
